n,k,seed,method,solved,time_s,plan_len,expanded,generated,bf_min,bf_max,bf_avg,max_frontier,max_closed,max_memory
3,15,14,astar_manhattan,True,0.002144,11,46,80,2,4,2.739130,34,46,80
3,15,14,fast_downward_lmcut,True,0.012595,11,34,92,,,,,,
3,15,15,astar_manhattan,True,0.000390,3,3,9,3,4,3.333333,6,3,9
3,15,15,fast_downward_lmcut,True,0.006459,3,4,10,,,,,,
3,15,16,astar_manhattan,True,0.000642,7,9,20,2,4,3.000000,11,9,20
3,15,16,fast_downward_lmcut,True,0.008148,7,9,25,,,,,,
3,15,17,astar_manhattan,True,0.000317,5,5,10,2,3,2.600000,5,5,10
3,15,17,fast_downward_lmcut,True,0.007161,5,6,13,,,,,,
3,15,18,astar_manhattan,True,0.001004,9,16,31,2,4,2.812500,15,16,31
3,15,18,fast_downward_lmcut,True,0.009615,9,10,25,,,,,,
3,15,19,astar_manhattan,True,0.000690,9,13,25,2,4,2.769231,12,13,25
3,15,19,fast_downward_lmcut,True,0.008011,9,10,27,,,,,,
3,20,0,astar_manhattan,True,0.000890,10,12,24,2,4,2.833333,12,12,24
3,20,0,fast_downward_lmcut,True,0.012691,10,11,27,,,,,,
3,20,1,astar_manhattan,True,0.001322,14,22,41,2,4,2.772727,19,22,41
3,20,1,fast_downward_lmcut,True,0.011808,14,18,49,,,,,,
3,20,2,astar_manhattan,True,0.000539,6,7,15,2,4,2.857143,8,7,15
3,20,2,fast_downward_lmcut,True,0.009632,6,7,17,,,,,,
3,20,3,astar_manhattan,True,0.000644,8,13,27,2,4,3.000000,14,13,27
3,20,3,fast_downward_lmcut,True,0.009442,8,9,24,,,,,,
3,20,4,astar_manhattan,True,0.000635,8,8,16,2,4,2.750000,8,8,16
3,20,4,fast_downward_lmcut,True,0.010796,8,9,22,,,,,,
3,20,5,astar_manhattan,True,0.000314,4,4,10,2,4,3.000000,6,4,10
3,20,5,fast_downward_lmcut,True,0.006751,4,5,12,,,,,,
3,20,6,astar_manhattan,True,0.000257,6,7,16,2,4,3.000000,9,7,16
3,20,6,fast_downward_lmcut,True,0.009674,6,7,19,,,,,,
3,20,7,astar_manhattan,True,0.000631,8,10,21,2,4,2.900000,11,10,21
3,20,7,fast_downward_lmcut,True,0.012709,8,9,24,,,,,,
3,20,8,astar_manhattan,True,0.000204,2,2,5,2,3,2.500000,3,2,5
3,20,8,fast_downward_lmcut,True,0.007304,2,3,5,,,,,,
